Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Ceskevirus	44.0	44	44	58.0	58	58	1
Maltophvirus	43.0	43	43	58.0	58	58	1
Pazvirus	43.5	43	44	60.0	60	60	2
Ponderosavirus	43.0	43	43	60.0	60	60	5
Pradovirus	44.0	43	45	62.0	58	63	16
Smasvirus	44.0	43	44	60.0	60	60	5
Aghbyvirus	41.0	41	41	54.0	54	54	1
Ahphunavirus	42.0	42	43	59.0	59	59	8
Atoyacvirus	42.0	42	42	59.0	59	59	2
Cronosvirus	42.0	42	42	55.5	54	56	6
Cullenvirus	43.0	43	43	56.0	56	56	3
Daeravirus	42.0	42	42	53.0	53	53	1
Jimeivirus	42.0	42	42	55.0	55	55	1
Panjvirus	42.0	42	42	39.0	39	39	1
Pienvirus	42.0	42	42	52.0	52	52	1
Pokrovskaiavirus	42.5	42	43	48.0	48	48	2
Wanjuvirus	42.0	42	42	51.5	51	52	2
Higashivirus	41.0	41	43	63.0	62	63	3
Hongshanvirus	44.0	44	44	62.0	62	62	1
Aerosvirus	42.0	31	43	57.0	55	57	3
Ampunavirus	42.5	42	43	61.5	61	62	2
Anchaingvirus	44.0	44	44	63.0	63	63	1
Aqualcavirus	41.0	41	41	58.0	58	58	1
Bifseptvirus	40.0	40	41	58.0	58	58	4
Conareevirus	42.0	42	42	61.0	61	62	3
Cotavirus	42.0	42	42	59.0	59	59	1
Dcimvirus	44.0	44	44	61.0	61	61	1
Ermolevavirus	43.0	43	43	52.0	52	52	2
Euvesivirus	43.0	43	43	59.0	59	59	1
Jeruvirus	41.0	41	41	59.0	59	59	1
Kalppathivirus	41.0	41	41	54.0	54	54	1
Lullwatervirus	45.0	45	45	55.0	55	55	2
Mguuvirus	42.0	42	42	61.0	61	61	1
Napahaivirus	41.0	41	41	58.0	58	58	1
Pakuvirus	43.0	43	43	62.0	62	62	1
Paternavirus	43.0	43	43	59.0	59	59	1
Percyvirus	45.0	44	45	61.5	60	62	4
Pollyceevirus	41.5	41	42	58.5	58	59	2
Risjevirus	44.0	44	44	61.0	61	61	2
Scottvirus	43.0	43	43	57.0	57	57	1
Sukuvirus	42.0	42	42	63.0	63	63	1
Aristophanesvirus	44.0	44	44	43.0	43	43	1
Daemvirus	43.0	43	43	41.0	41	41	1
Friunavirus	41.0	40	47	39.0	39	39	65
Pettyvirus	41.0	41	41	42.0	42	42	1
Actinidiaevirus	45.0	45	45	56.0	56	56	1
Kantovirus	45.0	45	45	60.0	60	60	1
Kotilavirus	44.0	42	45	51.0	51	52	5
Phimunavirus	44.0	43	46	49.0	49	49	12
Stompvirus	44.0	44	44	52.0	52	52	1
Kirikabuvirus	43.0	43	43	58.0	58	58	1
Mojovirus	41.0	41	41	58.0	58	58	1
Phikmvvirus	43.0	41	44	62.0	62	63	29
Torinorumvirus	42.0	42	42	57.0	57	57	1
Bucovirus	44.0	44	44	54.0	54	54	1
Cepavirus	43.0	43	43	47.0	47	47	1
Drulisvirus	44.0	39	49	54.0	39	55	98
Unclassified	46.0	33	300	46.0	25	70	218
Kakivirus	42.0	41	43	43.0	43	43	2
Koutsourovirus	44.0	43	45	52.0	52	52	4
Limelightvirus	45.0	45	45	54.0	54	54	1
Micantvirus	43.0	43	43	54.0	54	54	2
Novosibovirus	42.0	41	43	41.0	41	42	5
Zoomievirus	43.0	43	43	54.0	54	54	1
Bonnellvirus	42.0	41	43	55.0	55	56	9
Waewaevirus	43.0	43	43	55.0	55	55	1
Axyvirus	43.0	43	44	64.0	64	65	3
Ayakvirus	45.0	45	45	61.0	61	61	1
Bertilvirus	41.0	41	41	58.0	58	58	1
Bolekvirus	42.5	42	43	53.0	53	53	2
Catalonvirus	42.0	42	42	45.0	45	45	1
Jiaoyazivirus	45.0	45	45	61.0	61	61	1
Linggongvirus	42.0	42	42	44.0	44	44	1
Maculvirus	43.0	36	44	49.0	49	50	17
Natansvirus	42.0	42	42	62.0	62	62	1
Savitribaivirus	41.0	41	41	49.0	49	49	1
Stubburvirus	42.0	42	42	61.0	61	61	1
Trelivelvirus	43.0	43	43	62.0	62	62	1
Tunggulvirus	43.0	43	43	59.0	59	59	2
Daolivirus	45.0	45	45	50.0	50	50	1
Gutovirus	45.0	45	45	44.0	44	44	1
Kaohsiungvirus	44.0	43	47	43.5	43	44	6
Murciavirus	44.0	44	44	43.0	43	43	1
Nerthusvirus	46.5	46	47	57.5	57	59	4
Njordvirus	47.0	47	47	57.0	57	57	1
Roscoffvirus	45.0	45	45	45.0	45	45	1
Trungvirus	45.0	45	45	44.0	44	44	1
Uliginvirus	48.0	48	48	56.0	56	56	1
Acadevirus	44.5	43	45	39.0	39	40	6
Axomammavirus	44.0	44	44	50.0	50	50	1
Eracentumvirus	45.0	45	46	50.0	50	50	3
Gansuvirus	46.0	44	46	52.0	52	52	13
