Genus	Subfamily	Family	Accession	Phage	Genome
Ceskevirus	Gujervirinae	Autonotataviridae	PP079415	Xanthomonas phage SB4	dsDNA
Maltophvirus	Gujervirinae	Autonotataviridae	MW960043	Stenotrophomonas phage BUCT609	dsDNA
Pazvirus	Gujervirinae	Autonotataviridae	MT951568	Xanthomonas phage Xaa_vB_phi31	dsDNA
Pazvirus	Gujervirinae	Autonotataviridae	KF626666	Xylella phage Paz	dsDNA
Ponderosavirus	Gujervirinae	Autonotataviridae	MZ326858	Stenotrophomonas phage Pepon	dsDNA
Ponderosavirus	Gujervirinae	Autonotataviridae	MK903280	Stenotrophomonas phage Ponderosa	dsDNA
Pradovirus	Gujervirinae	Autonotataviridae	OP583591	Xanthomonas phage F5	dsDNA
Pradovirus	Gujervirinae	Autonotataviridae	KU595432	Xanthomonas phage f20-Xaj	dsDNA
Smasvirus	Gujervirinae	Autonotataviridae	MW831865	Stenotrophomonas phage BUCT598	dsDNA
Smasvirus	Gujervirinae	Autonotataviridae	OM735686	Stenotrophomonas phage vB_SmeS_BUCT700	dsDNA
Aghbyvirus	Melnykvirinae	Autonotataviridae	KT184661	Yersinia phage vB_YenP_ISAO8	dsDNA
Ahphunavirus	Melnykvirinae	Autonotataviridae	PP226938	Aeromonas phage phiA014L	dsDNA
Ahphunavirus	Melnykvirinae	Autonotataviridae	KT949345	Aeromonas phage Ahp1	dsDNA
Atoyacvirus	Melnykvirinae	Autonotataviridae	MT682386	Aeromonas phage Atoyac1	dsDNA
Atoyacvirus	Melnykvirinae	Autonotataviridae	MT682390	Aeromonas phage Atoyac15	dsDNA
Cronosvirus	Melnykvirinae	Autonotataviridae	LN878149	Cronobacter phage Dev-CD-23823	dsDNA
Cronosvirus	Melnykvirinae	Autonotataviridae	MW882933	Cronobacter phage EspYZU05	dsDNA
Cullenvirus	Melnykvirinae	Autonotataviridae	OL362270	Klebsiella phage 6937	dsDNA
Cullenvirus	Melnykvirinae	Autonotataviridae	OY757063	Klebsiella phage vB_Kpl_K59PH2	dsDNA
Daeravirus	Melnykvirinae	Autonotataviridae	MN509793	Pectobacterium phage MA13	dsDNA
Jimeivirus	Melnykvirinae	Autonotataviridae	PP453689	Escherichia phage vB_EcoP_LHP	dsDNA
Panjvirus	Melnykvirinae	Autonotataviridae	MG878892	Salmonella phage vB_SpuP_Spp16	dsDNA
Pienvirus	Melnykvirinae	Autonotataviridae	HE956707	Yersinia phage phiR8-01	dsDNA
Pokrovskaiavirus	Melnykvirinae	Autonotataviridae	KY318515	Yersinia phage fHe-Yen3-01	dsDNA
Pokrovskaiavirus	Melnykvirinae	Autonotataviridae	HE956710	Yersinia phage phi80-18	dsDNA
Wanjuvirus	Melnykvirinae	Autonotataviridae	MK053931	Pectobacterium phage Arno160	dsDNA
Wanjuvirus	Melnykvirinae	Autonotataviridae	KX756572	Pectobacterium phage PP2	dsDNA
Higashivirus	Okabevirinae	Autonotataviridae	OP087422	Ralstonia phage BHDT_So9	dsDNA
Higashivirus	Okabevirinae	Autonotataviridae	AB451219	Ralstonia phage RSB1	dsDNA
Hongshanvirus	Okabevirinae	Autonotataviridae	MW965453	Ralstonia phage vB_RsoP_BMB50	dsDNA
Aerosvirus		Autonotataviridae	JN651747	Aeromonas phage phiAS7	dsDNA
Aerosvirus		Autonotataviridae	MH179473	Aeromonas phage_ZPAH7	dsDNA
Ampunavirus		Autonotataviridae	HG793132	Burkholderia phage Bp-AMP1	dsDNA
Ampunavirus		Autonotataviridae	KY464836	Ralstonia phage RS-PI-1	dsDNA
Anchaingvirus		Autonotataviridae	MT740728	Ralstonia phage Anchaing	dsDNA
Aqualcavirus		Autonotataviridae	KX660669	Aquamicrobium phage P14	dsDNA
Bifseptvirus		Autonotataviridae	KX458241	Pseudomonas phage Andromeda	dsDNA
Bifseptvirus		Autonotataviridae	JN991020	Pseudomonas phage Bf7	dsDNA
Conareevirus		Autonotataviridae	ON529868	Brevundimonas phage vB_BpoS-Babayka	dsDNA
Conareevirus		Autonotataviridae	GU393987	Caulobacter phage Cd1	dsDNA
Cotavirus		Autonotataviridae	LR778216	Xylella phage Cota	dsDNA
Dcimvirus		Autonotataviridae	OQ137559	Caulobacter phage DCM	dsDNA
Ermolevavirus		Autonotataviridae	MG201401	Escherichia phage PGT2	dsDNA
Ermolevavirus		Autonotataviridae	JN882298	Escherichia phage phiKT	dsDNA
Euvesivirus		Autonotataviridae	PP079414	Xanthomonas phage SB3	dsDNA
Jeruvirus		Autonotataviridae	MW145136	Providencia phage PSTNGR1	dsDNA
Kalppathivirus		Autonotataviridae	KY981272	Curvibacter phage P26059B	dsDNA
Lullwatervirus		Autonotataviridae	MF621978	Caulobacter phage Lullwater	dsDNA
Lullwatervirus		Autonotataviridae	OR260090	Caulobacter phage Quill_5.2	dsDNA
Mguuvirus		Autonotataviridae	KC853746	Burkholderia phage JG068	dsDNA
Napahaivirus		Autonotataviridae	KX066068	Pseudomonas phage VSW-3	dsDNA
Pakuvirus		Autonotataviridae	MZ326863	Burkholderia phage Paku	dsDNA
Paternavirus		Autonotataviridae	ON932081	Xanthomonas phage vB_Xar_IVIA-DoCa7	dsDNA
Percyvirus		Autonotataviridae	OQ135102	Caulobacter phage BL198	dsDNA
Percyvirus		Autonotataviridae	OQ137560	Caulobacter phage ERS	dsDNA
Pollyceevirus		Autonotataviridae	OL581612	Pseudomonas phage Eisa9	dsDNA
Pollyceevirus		Autonotataviridae	MG775261	Pseudomonas phage PollyC	dsDNA
Risjevirus		Autonotataviridae	AB920995	Ralstonia phage RSJ2	dsDNA
