	Genome	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Full_taxonomy	Message
0	RLG_00520	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
1	CW2_1BM	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Not Defined Yet	Fromanvirus	Fromanvirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Not Defined Yet;g__Fromanvirus;s__Fromanvirus new_name	The number of expected genera is different from the predicted number of genus clusters. It will require more manual curation
2	RLG_00686	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
3	RLG_00671	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
4	OHR_00255	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
5	OHR_219_edit	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
6	RLG_00349B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
7	RLG_00398B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
8	BMCPR_PHG_006098	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Chimalliviridae	Not Defined Yet	Maaswegvirus	Maaswegvirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Chimalliviridae;sf__Not Defined Yet;g__Maaswegvirus;s__Maaswegvirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
9	RLG_00267	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Mesyanzhinovviridae	Rabinowitzvirinae	Yuavirus	Yuavirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Mesyanzhinovviridae;sf__Rabinowitzvirinae;g__Yuavirus;s__Yuavirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
10	RLG_00305	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
11	RLG_00495B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
12	BMCPR_005393	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
13	BMCPR_005384	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	Query is a new genus and species. You could try running again with if you larger distance
14	RLG_00308edit	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
15	OHR_216	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
16	BMCPR_005052	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	Query is a new genus and species. You could try running again with if you larger distance
17	RLG_00515B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
18	RLG_00666	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
19	RLG_00637C	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
20	NM_001	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Bclasvirinae	Pipefishvirus	Pipefishvirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Bclasvirinae;g__Pipefishvirus;s__Pipefishvirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
21	RLG_00454	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
22	OHR_00070	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
23	RLG_00690	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
24	BMCPR_005031B	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
25	RLG_00667	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
26	BMCPR_005053	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
