Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Ceskevirus	Gujervirinae	Autonotataviridae	PP079415	Xanthomonas phage SB4	dsDNA	44323
Maltophvirus	Gujervirinae	Autonotataviridae	MW960043	Stenotrophomonas phage BUCT609	dsDNA	43145
Pazvirus	Gujervirinae	Autonotataviridae	MT951568	Xanthomonas phage Xaa_vB_phi31	dsDNA	42825
Pazvirus	Gujervirinae	Autonotataviridae	KF626666	Xylella phage Paz	dsDNA	43869
Ponderosavirus	Gujervirinae	Autonotataviridae	MZ326858	Stenotrophomonas phage Pepon	dsDNA	42532
Ponderosavirus	Gujervirinae	Autonotataviridae	MK903280	Stenotrophomonas phage Ponderosa	dsDNA	42612
Pradovirus	Gujervirinae	Autonotataviridae	OP583591	Xanthomonas phage F5	dsDNA	44616
Pradovirus	Gujervirinae	Autonotataviridae	KU595432	Xanthomonas phage f20-Xaj	dsDNA	43851
Smasvirus	Gujervirinae	Autonotataviridae	MW831865	Stenotrophomonas phage BUCT598	dsDNA	43581
Smasvirus	Gujervirinae	Autonotataviridae	OM735686	Stenotrophomonas phage vB_SmeS_BUCT700	dsDNA	43214
Aghbyvirus	Melnykvirinae	Autonotataviridae	KT184661	Yersinia phage vB_YenP_ISAO8	dsDNA	41449
Ahphunavirus	Melnykvirinae	Autonotataviridae	PP226938	Aeromonas phage phiA014L	dsDNA	41536
Ahphunavirus	Melnykvirinae	Autonotataviridae	KT949345	Aeromonas phage Ahp1	dsDNA	42167
Atoyacvirus	Melnykvirinae	Autonotataviridae	MT682386	Aeromonas phage Atoyac1	dsDNA	41721
Atoyacvirus	Melnykvirinae	Autonotataviridae	MT682390	Aeromonas phage Atoyac15	dsDNA	42010
Cronosvirus	Melnykvirinae	Autonotataviridae	LN878149	Cronobacter phage Dev-CD-23823	dsDNA	41620
Cronosvirus	Melnykvirinae	Autonotataviridae	MW882933	Cronobacter phage EspYZU05	dsDNA	41723
Cullenvirus	Melnykvirinae	Autonotataviridae	OL362270	Klebsiella phage 6937	dsDNA	43359
Cullenvirus	Melnykvirinae	Autonotataviridae	OY757063	Klebsiella phage vB_Kpl_K59PH2	dsDNA	43207
Daeravirus	Melnykvirinae	Autonotataviridae	MN509793	Pectobacterium phage MA13	dsDNA	42464
Jimeivirus	Melnykvirinae	Autonotataviridae	PP453689	Escherichia phage vB_EcoP_LHP	dsDNA	42132
Panjvirus	Melnykvirinae	Autonotataviridae	MG878892	Salmonella phage vB_SpuP_Spp16	dsDNA	41832
Pienvirus	Melnykvirinae	Autonotataviridae	HE956707	Yersinia phage phiR8-01	dsDNA	42085
Pokrovskaiavirus	Melnykvirinae	Autonotataviridae	KY318515	Yersinia phage fHe-Yen3-01	dsDNA	42771
Pokrovskaiavirus	Melnykvirinae	Autonotataviridae	HE956710	Yersinia phage phi80-18	dsDNA	42406
Wanjuvirus	Melnykvirinae	Autonotataviridae	MK053931	Pectobacterium phage Arno160	dsDNA	41823
Wanjuvirus	Melnykvirinae	Autonotataviridae	KX756572	Pectobacterium phage PP2	dsDNA	41841
Higashivirus	Okabevirinae	Autonotataviridae	OP087422	Ralstonia phage BHDT_So9	dsDNA	41296
Higashivirus	Okabevirinae	Autonotataviridae	AB451219	Ralstonia phage RSB1	dsDNA	43079
Hongshanvirus	Okabevirinae	Autonotataviridae	MW965453	Ralstonia phage vB_RsoP_BMB50	dsDNA	43665
Aerosvirus		Autonotataviridae	JN651747	Aeromonas phage phiAS7	dsDNA	41572
Aerosvirus		Autonotataviridae	MH179473	Aeromonas phage_ZPAH7	dsDNA	42696
Ampunavirus		Autonotataviridae	HG793132	Burkholderia phage Bp-AMP1	dsDNA	42409
Ampunavirus		Autonotataviridae	KY464836	Ralstonia phage RS-PI-1	dsDNA	43211
Anchaingvirus		Autonotataviridae	MT740728	Ralstonia phage Anchaing	dsDNA	43597
Aqualcavirus		Autonotataviridae	KX660669	Aquamicrobium phage P14	dsDNA	40551
Bifseptvirus		Autonotataviridae	KX458241	Pseudomonas phage Andromeda	dsDNA	40008
Bifseptvirus		Autonotataviridae	JN991020	Pseudomonas phage Bf7	dsDNA	40058
Conareevirus		Autonotataviridae	ON529868	Brevundimonas phage vB_BpoS-Babayka	dsDNA	42321
Conareevirus		Autonotataviridae	GU393987	Caulobacter phage Cd1	dsDNA	41581
Cotavirus		Autonotataviridae	LR778216	Xylella phage Cota	dsDNA	42307
Dcimvirus		Autonotataviridae	OQ137559	Caulobacter phage DCM	dsDNA	44310
Ermolevavirus		Autonotataviridae	MG201401	Escherichia phage PGT2	dsDNA	42686
Ermolevavirus		Autonotataviridae	JN882298	Escherichia phage phiKT	dsDNA	42608
Euvesivirus		Autonotataviridae	PP079414	Xanthomonas phage SB3	dsDNA	43093
Jeruvirus		Autonotataviridae	MW145136	Providencia phage PSTNGR1	dsDNA	41033
Kalppathivirus		Autonotataviridae	KY981272	Curvibacter phage P26059B	dsDNA	41344
Lullwatervirus		Autonotataviridae	MF621978	Caulobacter phage Lullwater	dsDNA	44638
Lullwatervirus		Autonotataviridae	OR260090	Caulobacter phage Quill_5.2	dsDNA	44641
Mguuvirus		Autonotataviridae	KC853746	Burkholderia phage JG068	dsDNA	41604
Napahaivirus		Autonotataviridae	KX066068	Pseudomonas phage VSW-3	dsDNA	40556
Pakuvirus		Autonotataviridae	MZ326863	Burkholderia phage Paku	dsDNA	42727
Paternavirus		Autonotataviridae	ON932081	Xanthomonas phage vB_Xar_IVIA-DoCa7	dsDNA	42881
Percyvirus		Autonotataviridae	OQ135102	Caulobacter phage BL198	dsDNA	44961
Percyvirus		Autonotataviridae	OQ137560	Caulobacter phage ERS	dsDNA	44702
Pollyceevirus		Autonotataviridae	OL581612	Pseudomonas phage Eisa9	dsDNA	40730
Pollyceevirus		Autonotataviridae	MG775261	Pseudomonas phage PollyC	dsDNA	41651
Risjevirus		Autonotataviridae	AB920995	Ralstonia phage RSJ2	dsDNA	44360
Risjevirus		Autonotataviridae	AB983711	Ralstonia phage RSJ5	dsDNA	43745
Scottvirus		Autonotataviridae	MH684921	Sphingomonas phage_Scott	dsDNA	43077
Sukuvirus		Autonotataviridae	KY316062	Ralstonia phage RS-PII-1	dsDNA	42042
Aristophanesvirus	Beijerinckvirinae	Autoscriptoviridae	MT783706	Acinetobacter phage Aristophanes	dsDNA	43505
Daemvirus	Beijerinckvirinae	Autoscriptoviridae	KJ473423	Acinetobacter phage vB_AbaP_Acibel007	dsDNA	42654
Friunavirus	Beijerinckvirinae	Autoscriptoviridae	PP841128	Acinetobacter phage vB_Ab_02_KEN_01	dsDNA	41229
Friunavirus	Beijerinckvirinae	Autoscriptoviridae	PP841130	Acinetobacter phage vB_Ab_1137_KEN_02	dsDNA	39867
Pettyvirus	Beijerinckvirinae	Autoscriptoviridae	KF669656	Acinetobacter phage Petty	dsDNA	40739
Actinidiaevirus	Corkvirinae	Autoscriptoviridae	LC776701	Pseudomonas phage Ep4	dsDNA	44614
Kantovirus	Corkvirinae	Autoscriptoviridae	KU310944	Pseudomonas phage YMC11/06/C171_PPU_BP	dsDNA	45417
Kotilavirus	Corkvirinae	Autoscriptoviridae	MN270887	Pectobacterium phage CX5	dsDNA	43885
Kotilavirus	Corkvirinae	Autoscriptoviridae	MN271656	Pectobacterium phage MA2	dsDNA	41857
Phimunavirus	Corkvirinae	Autoscriptoviridae	KY953156	Pectobacterium phage vB_PatP_CB5	dsDNA	44549
Phimunavirus	Corkvirinae	Autoscriptoviridae	MK095193	Pectobacterium phage Clickz	dsDNA	43310
Stompvirus	Corkvirinae	Autoscriptoviridae	KT240186	Dickeya phage BF25/12	dsDNA	43872
Kirikabuvirus	Krylovirinae	Autoscriptoviridae	MG845683	Pseudomonas phage phiNV3	dsDNA	43184
Mojovirus	Krylovirinae	Autoscriptoviridae	MT104468	Pseudomonas phage MR5	dsDNA	41270
Phikmvvirus	Krylovirinae	Autoscriptoviridae	LN610580	Pseudomonas phage vB_PaeP_PAO1_1-15pyo	dsDNA	42750
Phikmvvirus	Krylovirinae	Autoscriptoviridae	MZ553931	Pseudomonas phage vB_PaeA_55_1W	dsDNA	42546
Torinorumvirus	Krylovirinae	Autoscriptoviridae	MT354570	Pseudomonas phage phiB1_1	dsDNA	41714
Bucovirus	Slopekvirinae	Autoscriptoviridae	MK562503	Shigella phage_Buco	dsDNA	43630
Cepavirus	Slopekvirinae	Autoscriptoviridae	OQ921331	Escherichia phage vB_EcoP_PAS7	dsDNA	42514
Drulisvirus	Slopekvirinae	Autoscriptoviridae	MF612071	Klebsiella phage AltoGao	dsDNA	43012
Drulisvirus	Slopekvirinae	Autoscriptoviridae	OL979478	Klebsiella phage Kpn BHU1	dsDNA	40410
Kakivirus	Slopekvirinae	Autoscriptoviridae	MK387869	Providencia phage vB_PstP_PS3	dsDNA	41024
Kakivirus	Slopekvirinae	Autoscriptoviridae	MW358930	Providencia phage PSTRCR_114	dsDNA	43106
Koutsourovirus	Slopekvirinae	Autoscriptoviridae	OQ884031	Enterobacter phage SDFMU_EhYP	dsDNA	44601
Koutsourovirus	Slopekvirinae	Autoscriptoviridae	JQ267518	Enterobacter phage phiKDA1	dsDNA	43804
Limelightvirus	Slopekvirinae	Autoscriptoviridae	FR687252	Pantoea phage LIMElight	dsDNA	44546
Micantvirus	Slopekvirinae	Autoscriptoviridae	OM513680	Erwinia phage Loshitsa2	dsDNA	43092
Micantvirus	Slopekvirinae	Autoscriptoviridae	OM513679	Erwinia phage Micant	dsDNA	43028
Novosibovirus	Slopekvirinae	Autoscriptoviridae	OL416096	Proteus phage 309	dsDNA	41740
Novosibovirus	Slopekvirinae	Autoscriptoviridae	KF319020	Proteus phage PM16	dsDNA	41268
Peggyvirus	Slopekvirinae	Autoscriptoviridae	PV796109	Cronobacter phage Peggy	dsDNA	43797
